,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
0,E145,BLR,27913150,27913215,27913241,463.8928171,0.0,1.0,1.0,0.0
1,E145,BLR,27905950,27906015,27905975,463.8928171,0.0,1.0,1.0,0.0
2,E145,BLR,27903070,27903135,27903080,463.8928171,0.0,1.0,1.0,0.0
3,E145,BLR,27900190,27900255,27900201,463.8928171,0.0,1.0,1.0,0.0
4,E145,BLR,27897310,27897375,27897354,463.8928171,0.0,1.0,1.0,0.0
5,E145,BLR,27895870,27895935,27895884,463.8928171,0.0,1.0,1.0,0.0
6,E145,BLR,27892990,27893055,27892999,463.8928171,0.0,1.0,1.0,0.0
7,E145,BLR,27891550,27891615,27891704,463.8928171,0.0,1.0,1.0,0.0
8,E145,BLR,27890110,27890175,27890153,463.8928171,0.0,1.0,1.0,0.0
9,E145,BLR,27885790,27885855,27885947,463.8928171,0.0,1.0,1.0,0.0
10,E145,BLR,27884350,27884415,27884561,463.8928171,0.0,1.0,1.0,0.0
11,E145,BLR,27882910,27882975,27883082,463.8928171,0.0,1.0,1.0,0.0
12,E145,BLR,27881470,27881535,27881824,463.8928171,0.0,1.0,1.0,0.0
13,E145,BLR,27880030,27880095,27880061,463.8928171,0.0,1.0,1.0,0.0
14,E145,BLR,27878590,27878655,27878621,463.8928171,0.0,1.0,1.0,0.0
15,E145,BLR,27877150,27877215,27877201,463.8928171,0.0,1.0,1.0,0.0
16,E145,BLR,27875710,27875775,27875732,463.8928171,0.0,1.0,1.0,0.0
17,E145,BLR,27874270,27874335,27874335,463.8928171,0.0,1.0,1.0,0.0
18,E145,BLR,27872830,27872895,27872973,463.8928171,0.0,1.0,1.0,0.0
19,E145,BLR,27871390,27871455,27871661,463.8928171,0.0,1.0,1.0,0.0
20,E145,BLR,27869950,27870015,27869969,463.8928171,0.0,1.0,1.0,0.0
21,E145,BLR,27868510,27868575,27868522,463.8928171,0.0,1.0,1.0,0.0
22,E145,BLR,27867070,27867135,27867089,463.8928171,0.0,1.0,1.0,0.0
23,E145,BLR,27865630,27865695,27865759,463.8928171,0.0,1.0,1.0,0.0
24,E145,BLR,27864190,27864255,27864207,463.8928171,0.0,1.0,1.0,0.0
25,E145,BLR,27861310,27861375,27861440,463.8928171,0.0,1.0,1.0,0.0
26,E145,BLR,27859870,27859935,27859889,463.8928171,0.0,1.0,1.0,0.0
27,E145,BLR,27858430,27858495,27858527,463.8928171,0.0,1.0,1.0,0.0
28,E145,BLR,27856990,27857055,27857009,463.8928171,0.0,1.0,1.0,0.0
29,E145,BLR,27855550,27855615,27855681,463.8928171,0.0,1.0,1.0,0.0
30,E145,BLR,27854110,27854175,27854133,463.8928171,0.0,1.0,1.0,0.0
31,E145,BLR,27851230,27851295,27851364,463.8928171,0.0,1.0,1.0,0.0
32,E145,BLR,27849790,27849855,27849892,463.8928171,0.0,1.0,1.0,0.0
33,E145,BLR,27848350,27848415,27848514,463.8928171,0.0,1.0,1.0,0.0
34,E145,BLR,27846910,27846975,27846917,463.8928171,0.0,1.0,1.0,0.0
35,E145,BLR,27845470,27845535,27845827,463.8928171,0.0,1.0,1.0,0.0
36,E145,BLR,27844030,27844095,27844069,463.8928171,0.0,1.0,1.0,0.0
37,E145,BLR,27842590,27842655,27842664,463.8928171,0.0,1.0,1.0,0.0
38,E145,BLR,27841150,27841215,27841156,463.8928171,0.0,1.0,1.0,0.0
39,E145,BLR,27839710,27839775,27839803,463.8928171,0.0,1.0,1.0,0.0
40,E145,BLR,27836830,27836895,27836857,463.8928171,0.0,1.0,1.0,0.0
41,E145,BLR,27835390,27835455,27835589,463.8928171,0.0,1.0,1.0,0.0
42,E145,BLR,27833950,27834015,27834062,463.8928171,0.0,1.0,1.0,0.0
43,E145,BLR,27832510,27832575,27832765,463.8928171,0.0,1.0,1.0,0.0
44,E145,BLR,27831070,27831135,27831209,463.8928171,0.0,1.0,1.0,0.0
45,E145,BLR,27829630,27829695,27829714,463.8928171,0.0,1.0,1.0,0.0
